Category,Listed brand,Listed sub-product / offering,Impact on source page,Country shown,Alternative 1 company,Alternative 1 product/service,Alternative 1 source,Alternative 2 company,Alternative 2 product/service,Alternative 2 source,Alternative 3 company,Alternative 3 product/service,Alternative 3 source,Notes
Online Services and Platforms,TripAdvisor,Vacationhomerentals,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,TripAdvisor,Viator,High,United States,Lonely Planet,Travel guides,https://www.lonelyplanet.com/,Time Out,Travel guides and city information,https://www.timeout.com/,Culture Trip,Travel guides,https://theculturetrip.com/,Comparable product/service; verify local availability and ownership.
Online Services and Platforms,Wix.com,Website builder,Very High,Israel (Global),Squarespace,Website builder,https://www.squarespace.com/,Webflow,Website builder,https://webflow.com/,WordPress.com,Website builder,https://wordpress.com/,Comparable product/service; verify local availability and ownership.
Banking,AXA,Core banking / financial services,Very High,France,Zurich Insurance,Insurance,https://www.zurich.com/,Allianz,Insurance,https://www.allianz.com/,Aviva,Insurance,https://www.aviva.com/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Banking,Bankinvest,Core banking / financial services,Low,Denmark,Triodos Bank,Banking,https://www.triodos.co.uk/,Merkur Cooperative Bank,Cooperative banking,https://www.merkur.dk/,Nordea,Banking,https://www.nordea.com/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Banking,BNP Paribas,Core banking / financial services,High,France,Crédit Agricole,Banking,https://www.credit-agricole.com/,ING,Banking,https://www.ing.com/,Rabobank,Banking,https://www.rabobank.com/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Banking,Citibank (Citigroup),Core banking / financial services,Medium,United States,Capital One,Banking,https://www.capitalone.com/,U.S. Bank,Banking,https://www.usbank.com/,Bank of America,Banking,https://www.bankofamerica.com/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Banking,Danske Bank,Core banking / financial services,High,Denmark,Nordea,Banking,https://www.nordea.com/,Handelsbanken,Banking,https://www.handelsbanken.com/,Jyske Bank,Banking,https://www.jyskebank.dk/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Banking,HSBC,Core banking / financial services,High,United Kingdom,Standard Chartered,Banking,https://www.sc.com/,Barclays,Banking,https://home.barclays/,Lloyds Banking Group,Banking,https://www.lloydsbankinggroup.com/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Banking,JPMorgan Chase,Core banking / financial services,High,United States,Goldman Sachs,Banking and financial services,https://www.goldmansachs.com/,Morgan Stanley,Banking and financial services,https://www.morganstanley.com/,Bank of America,Banking,https://www.bankofamerica.com/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Banking,Nykredit,Core banking / financial services,Medium,Denmark,Nordea,Banking,https://www.nordea.com/,Jyske Bank,Banking,https://www.jyskebank.dk/,Arbejdernes Landsbank,Banking,https://www.al-bank.dk/,"Comparable financial provider; availability, deposit protection and regulation vary by jurisdiction—verify locally."
Pharmaceutical and Medicine,Actavis Generics,Generic medicines / pharmaceutical products,Medium,Germany,Sandoz,Generic medicines,https://www.sandoz.com/,Viatris,Generic medicines,https://www.viatris.com/,Cipla,Generic medicines,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Ratiopharm,Generic medicines / pharmaceutical products,Medium,Germany,Sandoz,Generic medicines,https://www.sandoz.com/,Viatris,Generic medicines,https://www.viatris.com/,Cipla,Generic medicines,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Generic medicines / pharmaceutical products,High,Israel (Global),Sandoz,Generic medicines,https://www.sandoz.com/,Viatris,Generic medicines,https://www.viatris.com/,Cipla,Generic medicines,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Allen & Hanburys,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Assia,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Auspex Pharmaceuticals,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Cephalon,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Gecko Health Innovations,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Glaxo,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Ikapharm,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,IVAX Corporation,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Labrys Biologics,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Margarine Unie,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,MicroDose,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Novopharm,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,NuPathe after,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Plantex,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Rimsa,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,"Salomon, Levin, and Elstein Ltd",High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Taiyo Pharmaceutical Industry,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Pharmaceutical and Medicine,Teva,Zori,High,Israel (Global),Sandoz,Comparable generic/therapeutic portfolio,https://www.sandoz.com/,Viatris,Comparable generic/therapeutic portfolio,https://www.viatris.com/,Cipla,Comparable generic/therapeutic portfolio,https://www.cipla.com/,"Comparable medicine manufacturer, not a direct substitution recommendation. Do not stop or change prescribed medication for boycott reasons; ask a pharmacist or clinician about the same active ingredient, dose, formulation and local availability."
Cybersecurity,Check Point Software Technologies,Core cybersecurity offering,High,Israel (Global),Palo Alto Networks,Network security,https://www.paloaltonetworks.com/,Fortinet,Network security,https://www.fortinet.com/,CrowdStrike,Endpoint and cloud security,https://www.crowdstrike.com/,Comparable product/service; verify local availability and ownership.
Cybersecurity,CyberArk,Core cybersecurity offering,High,Israel (Global),BeyondTrust,Privileged access management,https://www.beyondtrust.com/,Delinea,Privileged access management,https://delinea.com/,One Identity,Identity security,https://www.oneidentity.com/,Comparable product/service; verify local availability and ownership.
Cybersecurity,Imperva,Core cybersecurity offering,Low,United States,Cloudflare,Application and cloud security,https://www.cloudflare.com/,Akamai,Application and edge security,https://www.akamai.com/,Fastly,Edge cloud security,https://www.fastly.com/,Comparable product/service; verify local availability and ownership.
Cybersecurity,McAfee,Core cybersecurity offering,Low,United States,Bitdefender,Consumer cybersecurity,https://www.bitdefender.com/,ESET,Consumer cybersecurity,https://www.eset.com/,Malwarebytes,Consumer cybersecurity,https://www.malwarebytes.com/,Comparable product/service; verify local availability and ownership.
Cybersecurity,Radware,Core cybersecurity offering,Medium,Israel (Global),F5,Application delivery and security,https://www.f5.com/,Cloudflare,Application security,https://www.cloudflare.com/,Akamai,Application and edge security,https://www.akamai.com/,Comparable product/service; verify local availability and ownership.
Cybersecurity,Varonis,Core cybersecurity offering,Medium,Israel & United States,Rubrik,Data security and backup,https://www.rubrik.com/,NetApp,Data management and security,https://www.netapp.com/,Cohesity,Data security and management,https://www.cohesity.com/,Comparable product/service; verify local availability and ownership.
App & Game Studios,Crazy Labs,Mobile and casual games,Medium,Israel (Global),Supercell,Mobile games,https://supercell.com/,Rovio,Mobile games,https://www.rovio.com/,Gameloft,Mobile games,https://www.gameloft.com/,Comparable product/service; verify local availability and ownership.
App & Game Studios,Moon Active,Mobile and casual games,Medium,Israel (Global),Supercell,Mobile games,https://supercell.com/,Rovio,Mobile games,https://www.rovio.com/,Gameloft,Mobile games,https://www.gameloft.com/,Comparable product/service; verify local availability and ownership.
App & Game Studios,Plarium,Mobile and casual games,Medium,Israel (Global),Supercell,Mobile games,https://supercell.com/,Rovio,Mobile games,https://www.rovio.com/,Gameloft,Mobile games,https://www.gameloft.com/,Comparable product/service; verify local availability and ownership.
App & Game Studios,Playtika Holdings Corp,Mobile and casual games,High,Israel (Global),Supercell,Mobile games,https://supercell.com/,Rovio,Mobile games,https://www.rovio.com/,Gameloft,Mobile games,https://www.gameloft.com/,Comparable product/service; verify local availability and ownership.
Others,AHAVA,Dead Sea cosmetics,High,Israel (Global),Weleda,Skincare,https://www.weleda.com/,Dr. Hauschka,Skincare,https://www.drhauschka.com/,The Body Shop,Skincare,https://www.thebodyshop.com/,Comparable product/service; verify local availability and ownership.
Others,Caterpillar,Heavy construction equipment,Very High,United States,Komatsu,Construction equipment,https://www.komatsu.com/,JCB,Construction equipment,https://www.jcb.com/,Hitachi Construction Machinery,Construction equipment,https://www.hitachicm.com/,Comparable product/service; verify local availability and ownership.
Others,Disney,Entertainment and media,Low,United States,Warner Bros. Discovery,Entertainment and media,https://www.wbd.com/,Paramount,Entertainment and media,https://www.paramount.com/,NBCUniversal,Entertainment and media,https://www.nbcuniversal.com/,Comparable product/service; verify local availability and ownership.
Others,G1 Secure Solutions (G4S),Security services and equipment,Very High,Israel (Global),Securitas,Security services,https://www.securitas.com/,Prosegur,Security services,https://www.prosegur.com/,Allied Universal,Security services,https://www.aus.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Lancôme,Low,France,Estée Lauder Companies,Luxury beauty,https://www.elcompanies.com/,Shiseido,Luxury beauty,https://corp.shiseido.com/,Clarins,Skincare and beauty,https://www.clarins.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Yves Saint Laurent,Low,France,Chanel Beauty,Luxury beauty,https://www.chanel.com/,Dior Beauty,Luxury beauty,https://www.dior.com/,Tom Ford Beauty,Luxury beauty,https://www.tomfordbeauty.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Giorgio Armani,Low,France,Chanel Beauty,Luxury beauty,https://www.chanel.com/,Dior Beauty,Luxury beauty,https://www.dior.com/,Tom Ford Beauty,Luxury beauty,https://www.tomfordbeauty.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Kiehl’s,Low,France,Clinique,Skincare,https://www.clinique.com/,Origins,Skincare,https://www.origins.com/,Aesop,Skincare,https://www.aesop.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Urban Decay,Low,France,NARS,Makeup,https://www.narscosmetics.com/,Smashbox,Makeup,https://www.smashbox.com/,Too Faced,Makeup,https://www.toofaced.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Biotherm,Low,France,Clarins,Skincare,https://www.clarins.com/,Shiseido,Skincare,https://corp.shiseido.com/,Bioderma,Skincare,https://www.bioderma.us/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Maybelline New York,Low,France,Revlon,Makeup,https://www.revlon.com/,e.l.f. Cosmetics,Makeup,https://www.elfcosmetics.com/,Milani,Makeup,https://www.milanicosmetics.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Garnier,Low,France,Neutrogena,Skincare and haircare,https://www.neutrogena.com/,Aveeno,Skincare,https://www.aveeno.com/,Simple Skincare,Skincare,https://www.simple.co.uk/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,NYX Professional Makeup,Low,France,e.l.f. Cosmetics,Makeup,https://www.elfcosmetics.com/,Milani,Makeup,https://www.milanicosmetics.com/,ColourPop,Makeup,https://colourpop.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Kérastase,Low,France,Olaplex,Haircare,https://olaplex.com/,Moroccanoil,Haircare,https://www.moroccanoil.com/,Davines,Haircare,https://world.davines.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Redken,Low,France,Joico,Haircare,https://www.joico.com/,Paul Mitchell,Haircare,https://www.paulmitchell.com/,Schwarzkopf,Haircare,https://www.schwarzkopf.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,La Roche-Posay,Low,France,Eucerin,Dermocosmetics,https://www.eucerinus.com/,Avène,Dermocosmetics,https://www.eau-thermale-avene.com/,Bioderma,Dermocosmetics,https://www.bioderma.us/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,Vichy,Low,France,Eucerin,Dermocosmetics,https://www.eucerinus.com/,Avène,Dermocosmetics,https://www.eau-thermale-avene.com/,Bioderma,Dermocosmetics,https://www.bioderma.us/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,SkinCeuticals,Low,France,SkinMedica,Clinical skincare,https://www.skinmedica.com/,Obagi,Clinical skincare,https://www.obagi.com/,Paula's Choice,Skincare,https://www.paulaschoice.com/,Comparable product/service; verify local availability and ownership.
Others,L'Oréal,CeraVe,Low,France,Cetaphil,Skincare,https://www.cetaphil.com/,Eucerin,Skincare,https://www.eucerinus.com/,Vanicream,Skincare,https://www.vanicream.com/,Comparable product/service; verify local availability and ownership.
Others,Puregym,Gym and fitness clubs,Medium,UK,The Gym Group,Gyms,https://www.thegymgroup.com/,Nuffield Health,Gyms and health clubs,https://www.nuffieldhealth.com/,Fitness First,Fitness clubs,https://www.fitnessfirst.com/,Comparable product/service; verify local availability and ownership.
Others,Tempur Sealy,Tempur,Medium,United States,Casper,Mattresses,https://casper.com/,Emma Sleep,Mattresses,https://www.emma-sleep.com/,IKEA,Mattresses,https://www.ikea.com/,Comparable product/service; verify local availability and ownership.
Others,Tempur Sealy,Tempur-Pedic,Medium,United States,Casper,Mattresses,https://casper.com/,Emma Sleep,Mattresses,https://www.emma-sleep.com/,IKEA,Mattresses,https://www.ikea.com/,Comparable product/service; verify local availability and ownership.
Others,Tempur Sealy,Cocoon,Medium,United States,Casper,Mattresses,https://casper.com/,Purple,Mattresses,https://purple.com/,Saatva,Mattresses,https://www.saatva.com/,Comparable product/service; verify local availability and ownership.
Others,Tempur Sealy,Sealy,Medium,United States,Serta,Mattresses,https://www.serta.com/,Simmons,Mattresses,https://www.simmons.com/,IKEA,Mattresses,https://www.ikea.com/,Comparable product/service; verify local availability and ownership.
Others,Tempur Sealy,Stearns & Foster,Medium,United States,Hästens,Luxury mattresses,https://hastens.com/,Savoir Beds,Luxury beds,https://www.savoirbeds.com/,Vispring,Luxury mattresses,https://www.vispring.com/,Comparable product/service; verify local availability and ownership.
Others,Toyota Motor Corporation,Hilux vehicles,Low,Japan,Honda,Pickup and utility vehicles,https://www.honda.com/,Mazda,Pickup and utility vehicles,https://www.mazda.com/,Subaru,Pickup and utility vehicles,https://www.subaru.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Axe,Medium,United Kingdom,Nivea,Deodorant,https://www.nivea.co.uk/,Old Spice,Deodorant,https://oldspice.com/,Mitchum,Deodorant,https://www.mitchum.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Ben & Jerry's,Medium,United Kingdom,Tillamook,Ice cream,https://www.tillamook.com/,Jeni's Splendid Ice Creams,Ice cream,https://jenis.com/,Blue Bell,Ice cream,https://www.bluebell.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Cif,Medium,United Kingdom,Method,Household cleaning,https://methodproducts.com/,Ecover,Household cleaning,https://uk.ecover.com/,Seventh Generation,Household cleaning,https://www.seventhgeneration.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Comfort,Medium,United Kingdom,Downy,Fabric softener,https://downy.com/,Snuggle,Fabric softener,https://www.snuggle.com/,Ecover,Laundry care,https://uk.ecover.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Dove,Medium,United Kingdom,Nivea,Personal care,https://www.nivea.co.uk/,Olay,Personal care,https://www.olay.com/,Aveeno,Personal care,https://www.aveeno.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Hellmann's,Medium,United Kingdom,Heinz,Mayonnaise and sauces,https://www.heinz.com/,Sir Kensington's,Mayonnaise and sauces,https://sirkensingtons.com/,Chosen Foods,Mayonnaise and dressings,https://chosenfoods.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Knorr,Medium,United Kingdom,Kallo,Stock and foods,https://www.kallo.com/,Rapunzel,Organic stock and foods,https://www.rapunzel.de/,Massel,Stock and foods,https://massel.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,LUX,Medium,United Kingdom,Palmolive,Bath and body,https://www.palmolive.com/,Nivea,Bath and body,https://www.nivea.co.uk/,Olay,Body care,https://www.olay.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Love Beauty & Planet,Medium,United Kingdom,The Body Shop,Beauty and personal care,https://www.thebodyshop.com/,Weleda,Beauty and personal care,https://www.weleda.com/,Faith in Nature,Hair and body care,https://www.faithinnature.co.uk/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Magnum,Medium,United Kingdom,Tillamook,Ice cream,https://www.tillamook.com/,Jeni's Splendid Ice Creams,Ice cream,https://jenis.com/,Blue Bell,Ice cream,https://www.bluebell.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,OLLY Vitamins,Medium,United Kingdom,Nature Made,Vitamins and supplements,https://www.naturemade.com/,Ritual,Vitamins and supplements,https://ritual.com/,Vitafusion,Vitamins and supplements,https://www.vitafusion.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,OMO,Medium,United Kingdom,Persil,Laundry detergent,https://www.persil.com/,Ariel,Laundry detergent,https://www.ariel.co.uk/,Seventh Generation,Laundry detergent,https://www.seventhgeneration.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Rexona,Medium,United Kingdom,Nivea,Deodorant,https://www.nivea.co.uk/,Old Spice,Deodorant,https://oldspice.com/,Mitchum,Deodorant,https://www.mitchum.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,SmartyPants Vitamins,Medium,United Kingdom,Nature Made,Vitamins and supplements,https://www.naturemade.com/,Ritual,Vitamins and supplements,https://ritual.com/,Vitafusion,Vitamins and supplements,https://www.vitafusion.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Sunsilk,Medium,United Kingdom,Pantene,Haircare,https://pantene.com/,Herbal Essences,Haircare,https://herbalessences.com/,Head & Shoulders,Haircare,https://headandshoulders.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Vaseline,Medium,United Kingdom,Eucerin,Skin care,https://www.eucerinus.com/,Aquaphor,Skin protectant,https://www.aquaphorus.com/,Aveeno,Skin care,https://www.aveeno.com/,Comparable product/service; verify local availability and ownership.
Others,Unilever,Wall's (Frisko),Medium,United Kingdom,Tillamook,Ice cream,https://www.tillamook.com/,Jeni's Splendid Ice Creams,Ice cream,https://jenis.com/,Blue Bell,Ice cream,https://www.bluebell.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Volkswagen,Low,Germany,Honda,Passenger vehicles,https://www.honda.com/,Hyundai,Passenger vehicles,https://www.hyundai.com/,Kia,Passenger vehicles,https://www.kia.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Audi,Low,Germany,BMW,Luxury vehicles,https://www.bmw.com/,Mercedes-Benz,Luxury vehicles,https://www.mercedes-benz.com/,Lexus,Luxury vehicles,https://www.lexus.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,SEAT,Low,Germany,Renault,Passenger vehicles,https://www.renaultgroup.com/,Peugeot,Passenger vehicles,https://www.peugeot.com/,Hyundai,Passenger vehicles,https://www.hyundai.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,SKODA,Low,Germany,Kia,Passenger vehicles,https://www.kia.com/,Hyundai,Passenger vehicles,https://www.hyundai.com/,Mazda,Passenger vehicles,https://www.mazda.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Bentley,Low,Germany,Rolls-Royce Motor Cars,Luxury vehicles,https://www.rolls-roycemotorcars.com/,Aston Martin,Luxury vehicles,https://www.astonmartin.com/,Maserati,Luxury vehicles,https://www.maserati.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Bugatti,Low,Germany,Rimac,Electric hypercars,https://www.rimac-automobili.com/,Koenigsegg,Hypercar,https://www.koenigsegg.com/,Pagani,Hypercar,https://www.pagani.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Lamborghini,Low,Germany,Ferrari,Performance vehicles,https://www.ferrari.com/,McLaren,Performance vehicles,https://cars.mclaren.com/,Aston Martin,Performance vehicles,https://www.astonmartin.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Porsche,Low,Germany,BMW M,Performance vehicles,https://www.bmw-m.com/,Mercedes-AMG,Performance vehicles,https://www.mercedes-amg.com/,Corvette,Performance vehicles,https://www.chevrolet.com/performance/corvette,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Ducati,Low,Germany,Honda,Motorcycles,https://www.honda.com/,Yamaha Motor,Motorcycles,https://global.yamaha-motor.com/,Kawasaki Motors,Motorcycles,https://www.kawasaki.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,Scania,Low,Germany,Daimler Truck,Heavy trucks,https://www.daimlertruck.com/,PACCAR,Heavy trucks,https://www.paccar.com/,Iveco,Heavy trucks,https://www.ivecogroup.com/,Comparable product/service; verify local availability and ownership.
Others,Volkswagen Group,MAN,Low,Germany,Daimler Truck,Heavy trucks,https://www.daimlertruck.com/,PACCAR,Heavy trucks,https://www.paccar.com/,Iveco,Heavy trucks,https://www.ivecogroup.com/,Comparable product/service; verify local availability and ownership.
